 0 3.1537782263151257E-6
1 2.1297464362306043E-5 
2 2.563895546865144E-4 
3 0.0031500031537782264 
4 0.028129137757032924 
5 0.13259849564778606 
6 0.2844453418695597 
7 0.28864861864513686 
8 0.16619063327866784 
9 0.06577113977545099 
10 0.02114944178125394 
11 0.006276485429544594 
12 0.0019706320171565535 
13 8.993124763466633E-4 
14 3.60848997098524E-4 
15 9.886779361675287E-5 
16 2.336949665699508E-5 
17 5.367730541188344E-6 
18 1.1132837138892392E-6 
19 2.8068626214204616E-7 
20 5.676800807367226E-8 
21 1.2615112905260502E-8
